4.644,13.56,86.76
4.868,12.36,22.81
5.017,8.932,27.66,27.92
4.924,21.33,71.68
4.942,12.78,39.13,104.8
4.971,11.1,22.28
4.596,16.69,40.42
5.067,13.49,38.38,1140.0
4.95,95.81,317.1,18.49
5.218,8.616,11.4,14.8,19.41
4.864,13.6,215.8,352.1
5.128,14.48,22.78
5.169,33.57,10.53
5.015,13.84
5.045,28.8,11.95
5.011,125.0,23.79
4.801,13.11
4.957,20.14,50.89
4.889,13.78,25.29
5.233,8.565,11.27,14.66,19.43
4.786,45.69,17.82,22.14
4.644,15.24
5.078,8.488,36.68
5.223,11.58,7.938,17.82
4.976,14.11,144.6,44.54,48.9
5.227,8.602,11.26,14.84,19.51
5.019,85.73,26.84,30.79,14.47
4.981,17.92,30.7,31.39
4.843,13.05,28.62
5.224,8.624,11.28,14.87,19.47
5.229,8.618,11.27,17.5
4.822,14.04,34.78
5.219,8.621,11.23,14.76,19.46
4.864,17.79,32.56
5.075,12.22,34.79
4.817,17.7,32.15
4.905,16.93,46.64
5.227,8.773,11.43,14.69,19.23
4.811,12.57,31.98
4.918,10.1,62.56
5.063,15.19,23.17,56.66
4.46,21.43
5.041,158.6,19.7,223.9
5.018,9.18,29.89,30.05
4.961,14.56,78.59,30.89
4.793,11.51,63.96
4.904,11.92,28.06,44.53
4.888,57.73,70.2,16.07
5.171,42.49,55.79,10.9
4.972,13.28,25.46
4.735,14.21,29.24
5.232,8.777,11.59,15.07,19.02
4.994,24.27,32.09,11.22
4.744,12.97
5.107,14.06,127.6
4.791,13.11,37.1
5.073,9.41,29.55,24.07
5.013,8.832,38.42,39.81
4.952,9.05,32.92
4.794,51.11,18.28,82.16,13.12
5.102,10.34,23.78
4.901,12.19,68.64,65.47
5.117,8.987,14.87,19.05
5.0,9.891,15.99,43.77
4.798,25.12
4.911,30.03,10.99,22.04
4.872,14.29,31.1,75.92,33910.0
4.846,27.42,51.0
4.579,18.35,73.83
4.902,10.12,53.72,562.3
4.921,10.75,34.13,21.67
4.919,10.24,41.92,32.99
4.782,11.53,84.58
5.051,11.2,66.32
4.708,16.35,187.5
4.932,9.908,21.03,29.27
4.867,10.41,26.6
4.898,36.69,71.99,13.39
5.228,8.512,11.26,14.7,19.32
5.231,8.637,11.37,14.95,19.06
5.122,21.22,8.323
4.863,16.94,38.54
5.23,8.743,11.38,14.96,18.88
