4.819,11.44,140.7,34.57,37.15
4.956,11.78,31.18
4.475,19.31,183.7
4.853,20.3,39.56,38.18
5.0,10.04,54730.0,22.39,30.23,53.65
5.024,9.437,32.5,28.64,21.64
5.227,8.534,11.15,14.61,19.59,25.36
4.815,16.12,40.8,43.25
5.007,93.31,13.06,19.1,50.9,253.1
4.511,17.32,45.76
4.809,16.25,59.29,30.09
5.054,12.88,31.42,34.47
4.92,17.56,3077.0,68.89,50.0
4.824,12.18,64.4,35.79
5.063,16.82,70.76,31.18
4.545,24.41,68.32,49.73
4.686,14.65,42.49,617.7
4.931,18.7,39.3,194.2
5.2,12.09,22.22,30.98
5.228,8.578,11.2,14.86,19.06,25.12
4.704,17.05,47.78,553.7,56.21
5.035,8.684,26.84,46.75,4995.0
4.854,10.76,28.74,24.27
4.935,9.211,44.29
4.952,47.34,366.8,15.03,22.83
5.223,8.589,11.37,14.87,19.41,25.59
4.825,87.71,42.77,10.04
4.962,16.56,42.22,43.07
5.215,10.28,14.37,19.27,25.53
5.228,8.68,11.43,14.77,19.49,25.12
4.724,11.28,43.19,4408.0
5.032,15.25,23.76,34.53
4.753,11.98,46.58,21.54
5.394,16.22,61.59,31.97,2.924
5.2,11.45,32.89,15.62,512.5
5.137,9.319,35.78,28.23,20.88
5.034,12.77,35.43,36.87
4.581,12.07,148.2,177.1
4.872,12.87,26.04,36.85
4.841,11.5,50.77,28.38
4.987,11.15,36.22,32.27
4.721,12.08,39.2
4.904,162.5,113.7,23.38,18.15
4.72,14.45,27.41
4.717,20.23,78.01,41.92
4.952,11.83,32.12
4.863,10.96,23.79,27.09
5.078,8.585,15.52,18.83,26.25
4.979,13.39,30.0,32.76
4.743,14.73,66.0,495.7
4.852,10.53,43.46
5.226,8.759,11.56,14.53,19.15,25.27
5.039,12.03,225.9,5.42,36.29
4.602,14.78,281.5,48.62
5.277,17.49,27.43
4.816,11.7,708.0,61.19
5.119,9.64,19.18,54.41,29.91
4.937,9.567,28.63,27.6,130.4
5.223,8.651,11.32,14.9,19.08,25.05
4.989,40.7,8.424,102.4,86.13,177.9
4.824,10.27,47.86,54.15
4.936,99.0,35.05,33.09,32.34
4.86,10.75,39.83,25.64
5.132,8.387,25.58,41.36,16.63
4.697,19.52,49.51
4.951,12.69,155.1,42.21,47.62
4.674,14.37,53.21
5.044,9.605,48.56,31.36,62.88
4.795,11.7,33.25
5.12,10.81,26.35,28.56
4.776,12.3,28.74,37.87
4.904,9.783,25.18,64.12
5.222,8.839,11.66,15.22,19.2,25.13
4.342,27.87
4.819,19.29,95.46,48.2
5.277,9.555,13.83,16.97,35.61
4.552,16.95,42.91
5.191,12.71,25.1,69.57
5.224,8.522,11.17,14.58,19.13,25.37
5.093,8.326,19.27,50.29,29940.0,21.65
4.836,17.16,56.18,48.73
5.024,18.17,47.87
4.023,36.71,9672.0
4.77,11.72,31.06,37.1
4.494,37.13,7.45
4.894,93.05,136.3,20.88,21.42
5.121,56.33,17.4,13.03
4.86,16.91,38.04,49.08
5.144,8.392,26.18,14.85,31.73
4.873,10.56,40.96
4.665,13.61,57.05,91.5
4.897,15.17,257.7,53.09
4.406,25.63,18630.0,6546.0
5.223,8.588,11.36,14.88,19.41,25.42
4.808,28.21,82.01
5.23,8.501,11.21,14.69,19.28,25.29
5.636,35.35,47.06,14.52
5.019,9.373,27.5,24.94,23.12
5.202,8.3,28.71,21.45,17.48,16.09
4.98,14.76,40.34,41.57
4.678,13.37,57.01,211.7
4.684,12.36,29.07
4.817,18.97,30.65,61.74
4.735,14.13,39.99
4.896,10.18,34.76,48.7,48.75
4.825,19.14
4.791,24.16,47.16,11.64
5.193,16.4,36.27,35.23
4.74,11.07,294.6,50.09
4.824,14.92,196.7,38.14,28.32,495.7
4.707,19.69
4.708,12.91,62.29,26430.0
5.225,8.648,11.35,14.69,19.46,25.5
4.668,14.64,31.9
4.726,18.46,49.36,44.3
4.87,41.28,19.16,12.43,28.02
5.234,8.461,11.05,14.72,19.32,25.55
4.916,19.42,81.26,41.88,12.2
4.967,41.76,21.82,25.26
5.232,8.491,11.15,14.71,19.24,25.24
4.93,15.38,19.92,40.21
4.73,12.43,58.47,22230.0,20.31
4.812,13.43,41.7,30.1,2326.0
5.181,8.507,2718.0,49.08,102.2,31.32
5.214,8.782,11.52,15.03,19.73,26.04
4.787,11.3,790.7,44.66,52.98
4.871,10.19,22.37,34.2
5.013,60.9,15.73,79.88,79.68,15.12
4.925,35.56,56.87,13.1,45.15
4.643,21.03,57.7
4.915,9.369,33.79,19.63,31.84
4.893,24.03,50.13,120.8,43.76
4.971,81.84,26.19,28.35,107.4
4.948,9.866,33.74,28.24
4.868,36.34,17.38,28.0
4.752,34.1,96.89,69.46,49.46
5.223,9.23,12.02,15.78,19.21,25.29
4.457,22.14,42.4
4.816,11.38,41.83,24.46
4.994,72.66,19.24,18.99,133.1
4.887,19.91,80.7,56.77,13.07
4.852,15.25,56.76,29.54
4.591,14.57,579.4
4.995,13.21,44.25,25.84,13190.0
5.093,10.61,34.81,39.03
4.922,36.66,48.44,12.0
5.224,8.583,12.76,19.85,25.48
4.886,19.91,50.05
4.73,13.2,49.74
4.82,15.51,47.62,23.12
5.134,14.75,78.41,55.77,46.47,44.26
4.639,20.12,105.2
5.025,17.84,51.01,435.7,84.89,84.88
4.8,12.66,30.24,38.6
5.184,7.655,63.71,38.31,29.79,25.56
4.68,15.97,36.16
4.85,12.73,24330.0,27.5,40.93
5.222,8.686,11.36,14.87,19.08,25.25
4.903,15.85,30.94,59.53
4.574,16.38,48.75,1070.0
4.785,52.5,151.3,26.77
5.107,46.1,16.17,22.01
5.073,26.03,44.08,22.67
4.504,20.17,56.44,45.48
4.721,10.74,50.18,2271.0
4.975,9.413,42.66,29.57,30.24
4.904,20.02,25.27,42.7,34.96
5.224,8.664,11.28,14.87,19.47,25.49
4.788,11.49,38.08,85.45
5.216,8.781,23.53,26.73,17.74
5.172,20.05,14.93,39.16,64.74
4.997,180.2,28.8,16.52
5.034,11.75,36.01,108.5,28.09
4.489,21.67,62.42
4.7,17.78,54.34
5.227,8.681,11.37,14.39,18.93,24.87
5.08,19.27,47.32,38.54
4.287,67010.0,68.19,25.88,32.81
4.946,10.91,33.43,27.25
5.222,8.754,11.57,15.05,19.74,24.97
4.83,11.26,21.42,28.91
4.621,20.32,95.36
4.946,28.49,142.1,105.5,10.64
5.035,12.79,70.23,71.67
4.51,19.67,54.66
5.227,8.602,11.29,14.77,19.55,24.96
4.782,53.49,112.1,13.37,24.0
5.053,20.53,27.85,11.6
5.227,8.683,11.39,14.97,19.63,25.79
5.015,23.6,35.21,203.0
5.007,9.131,22.01,31.58,23.75
5.1,14.72,52.33,99.96
